ip,http_status_code,intenum_netname,intenum_descr,route_route,route_descr,route_asn,rdns
145.236.102.117,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,145.236.0.0/16," Hungarian Telecom Public Internet Access Provider Budapest, Hungary HU", AS5483,91ec6675.dsl.pool.telekom.hu
145.236.102.117,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,145.236.0.0/16," Hungarian Telecom Public Internet Access Provider Budapest, Hungary HU", AS5483,91ec6675.dsl.pool.telekom.hu
145.236.8.174,200, MT-BROADBAND-DYNAMIC-KTV, Magyar Telekom customers using dynamic IP CATV access,145.236.0.0/16," Hungarian Telecom Public Internet Access Provider Budapest, Hungary HU", AS5483,91ec08ae.catv.pool.telekom.hu
149.200.16.86,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c81056.dsl.pool.telekom.hu
149.200.16.86,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c81056.dsl.pool.telekom.hu
149.200.36.1,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c82401.dsl.pool.telekom.hu
149.200.36.1,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c82401.dsl.pool.telekom.hu
149.200.36.1,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c82401.dsl.pool.telekom.hu
149.200.39.163,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c827a3.dsl.pool.telekom.hu
149.200.39.163,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,149.200.0.0/17, T-Mobile Hungary, AS5483,95c827a3.dsl.pool.telekom.hu
188.157.101.114,200, MT-BROADBAND-DYNAMIC-KTV, Magyar Telekom customers using dynamic IP CATV access,188.156.0.0/15, T-Mobile Hungary, AS5483,bc9d6572.catv.pool.telekom.hu
188.157.101.114,200, MT-BROADBAND-DYNAMIC-KTV, Magyar Telekom customers using dynamic IP CATV access,188.156.0.0/15, T-Mobile Hungary, AS5483,bc9d6572.catv.pool.telekom.hu
188.36.127.233,200, MT-BROADBAND-STATIC-DSL, Magyar Telekom customers using static IP DSL access,188.36.0.0/16, Hungarian Telekom, as5483,dslbc247fe9.fixip.t-online.hu
188.36.127.233,200, MT-BROADBAND-STATIC-DSL, Magyar Telekom customers using static IP DSL access,188.36.0.0/16, Hungarian Telekom, as5483,dslbc247fe9.fixip.t-online.hu
188.36.147.201,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,188.36.0.0/16, Hungarian Telekom, as5483,bc2493c9.dsl.pool.telekom.hu
188.36.147.201,200, MT-BROADBAND-DYNAMIC-DSL, Magyar Telekom customers using dynamic IP DSL access,188.36.0.0/16, Hungarian Telekom, as5483,bc2493c9.dsl.pool.telekom.hu
195.56.100.145,200, HU-HTC-960426,,195.56.0.0/16, GTS Hungary Ltd. Public Internet Access Provider Hungary, AS5588,mail.hovany.hu
195.56.100.145,200, HU-HTC-960426,,195.56.0.0/16, GTS Hungary Ltd. Public Internet Access Provider Hungary, AS5588,mail.hovany.hu
195.56.100.145,200, HU-HTC-960426,,195.56.0.0/16, GTS Hungary Ltd. Public Internet Access Provider Hungary, AS5588,mail.hovany.hu
217.65.126.29,200, MT-BROADBAND-NAT-FIXEDLINE, Magyar Telekom customers using dynamic IP NAT pool,217.65.96.0/19217.65.96.0/19," T-Online Hungary. Public Internet Access Provider Szeged, Hungary HU T-Online Hungary. Public Internet Access Provider Szeged, Hungary HU", AS5483 AS8579,
